Keyword: de, Frequency: 112, Sentiment: Neutral, Average VADER Score: 0.31
Keyword: în, Frequency: 64, Sentiment: Neutral, Average VADER Score: 0.30
Keyword: și, Frequency: 54, Sentiment: Neutral, Average VADER Score: 0.36
Keyword: să, Frequency: 49, Sentiment: Neutral, Average VADER Score: 0.21
Keyword: că, Frequency: 37, Sentiment: Neutral, Average VADER Score: 0.31
Keyword: cu, Frequency: 35, Sentiment: Neutral, Average VADER Score: 0.28
Keyword: care, Frequency: 32, Sentiment: Positive, Average VADER Score: 0.58
Keyword: la, Frequency: 31, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: pentru, Frequency: 29, Sentiment: Neutral, Average VADER Score: 0.21
Keyword: din, Frequency: 27, Sentiment: Neutral, Average VADER Score: 0.21
Keyword: mureș, Frequency: 26, Sentiment: Neutral, Average VADER Score: 0.33
Keyword: pe, Frequency: 26, Sentiment: Neutral, Average VADER Score: 0.30
Keyword: au, Frequency: 25, Sentiment: Neutral, Average VADER Score: 0.26
Keyword: nu, Frequency: 22, Sentiment: Neutral, Average VADER Score: 0.11
Keyword: copii, Frequency: 21, Sentiment: Neutral, Average VADER Score: 0.35
Keyword: ce, Frequency: 19, Sentiment: Neutral, Average VADER Score: 0.15
Keyword: copiii, Frequency: 18, Sentiment: Neutral, Average VADER Score: 0.15
Keyword: într, Frequency: 17, Sentiment: Neutral, Average VADER Score: 0.24
Keyword: mai, Frequency: 16, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: fi, Frequency: 15, Sentiment: Neutral, Average VADER Score: 0.28
Keyword: un, Frequency: 14, Sentiment: Neutral, Average VADER Score: 0.28
Keyword: erau, Frequency: 13, Sentiment: Neutral, Average VADER Score: 0.27
Keyword: le, Frequency: 13, Sentiment: Neutral, Average VADER Score: 0.36
Keyword: este, Frequency: 12, Sentiment: Neutral, Average VADER Score: 0.39
Keyword: județean, Frequency: 11, Sentiment: Neutral, Average VADER Score: 0.30
Keyword: se, Frequency: 11, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: acolo, Frequency: 11, Sentiment: Neutral, Average VADER Score: 0.24
Keyword: cj, Frequency: 10, Sentiment: Neutral, Average VADER Score: 0.31
Keyword: mediu, Frequency: 10, Sentiment: Neutral, Average VADER Score: 0.44
Keyword: sunt, Frequency: 10, Sentiment: Neutral, Average VADER Score: 0.19
Keyword: ca, Frequency: 9, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: ferenc, Frequency: 9, Sentiment: Neutral, Average VADER Score: 0.36
Keyword: cum, Frequency: 9, Sentiment: Neutral, Average VADER Score: 0.20
Keyword: ne, Frequency: 9, Sentiment: Neutral, Average VADER Score: 0.14
Keyword: centre, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.26
Keyword: digi24, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.19
Keyword: acești, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.38
Keyword: peter, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.40
Keyword: fost, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.25
Keyword: ei, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.11
Keyword: nici, Frequency: 8, Sentiment: Neutral, Average VADER Score: 0.16
Keyword: dizabilități, Frequency: 7, Sentiment: Neutral, Average VADER Score: 0.31
Keyword: copil, Frequency: 7, Sentiment: Neutral, Average VADER Score: 0.40
Keyword: după, Frequency: 7, Sentiment: Neutral, Average VADER Score: 0.36
